event_time;symbol;kline_start_time;kline_close_time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-17 00:00:00.000;BTCEUR;2021-04-16 23:00:00.000;2021-04-16 23:59:59.999;51814.98000000;51671.78000000;51950.00000000;51657.88000000;62.23473200;9222;3224956.97569872;29.96782900;1553171.56371429
2021-04-17 01:00:00.000;BTCEUR;2021-04-17 00:00:00.000;2021-04-17 00:59:59.999;51658.87000000;51478.78000000;51830.35000000;51444.73000000;84.54063900;9411;4365731.37487639;43.23472600;2233280.73687223
2021-04-17 02:00:00.000;BTCEUR;2021-04-17 01:00:00.000;2021-04-17 01:59:59.999;51478.72000000;51350.23000000;51570.97000000;51350.23000000;54.09460000;6153;2783597.63079853;26.76168900;1377247.09897889
2021-04-17 03:00:00.000;BTCEUR;2021-04-17 02:00:00.000;2021-04-17 02:59:59.999;51356.61000000;51418.39000000;51626.24000000;51158.67000000;68.81360900;5427;3534710.30375241;33.88767100;1740583.19217228
2021-04-17 04:00:00.000;BTCEUR;2021-04-17 03:00:00.000;2021-04-17 03:59:59.999;51437.50000000;51730.21000000;51844.92000000;51427.24000000;93.66572900;5507;4841259.07514198;42.53256600;2198915.76841471
2021-04-17 05:00:00.000;BTCEUR;2021-04-17 04:00:00.000;2021-04-17 04:59:59.999;51730.39000000;51925.18000000;52047.51000000;51730.39000000;56.77596000;4397;2948500.62414765;32.59614100;1692859.59565946
2021-04-17 06:00:00.000;BTCEUR;2021-04-17 05:00:00.000;2021-04-17 05:59:59.999;51929.44000000;52090.42000000;52205.62000000;51858.72000000;69.70392900;4310;3627198.38482340;42.89316900;2231679.06596635
2021-04-17 07:00:00.000;BTCEUR;2021-04-17 06:00:00.000;2021-04-17 06:59:59.999;52091.06000000;51944.25000000;52171.86000000;51830.72000000;58.26333700;4712;3029781.46087160;26.66576800;1386335.64549194
2021-04-17 08:00:00.000;BTCEUR;2021-04-17 07:00:00.000;2021-04-17 07:59:59.999;51931.28000000;52026.26000000;52109.32000000;51838.47000000;60.94954400;5663;3168452.58226918;34.50702400;1793707.12766634
2021-04-17 09:00:00.000;BTCEUR;2021-04-17 08:00:00.000;2021-04-17 08:59:59.999;52025.53000000;51919.90000000;52031.13000000;51767.60000000;62.26402100;7053;3232233.33302623;31.20769900;1620205.54354897
2021-04-17 10:00:00.000;BTCEUR;2021-04-17 09:00:00.000;2021-04-17 09:59:59.999;51912.36000000;52013.60000000;52178.32000000;51872.98000000;94.00770900;8800;4893294.90286324;54.42240200;2832932.10293106
2021-04-17 11:00:00.000;BTCEUR;2021-04-17 10:00:00.000;2021-04-17 10:59:59.999;52013.62000000;52274.58000000;52274.58000000;52013.62000000;92.66957300;8592;4832539.06373198;59.57807000;3106990.36493040
2021-04-17 12:00:00.000;BTCEUR;2021-04-17 11:00:00.000;2021-04-17 11:59:59.999;52274.57000000;51634.79000000;52323.16000000;51454.55000000;119.56643700;11606;6198332.53287907;56.19023500;2914621.64904678
2021-04-17 13:00:00.000;BTCEUR;2021-04-17 12:00:00.000;2021-04-17 12:59:59.999;51634.79000000;51413.02000000;51797.64000000;51326.15000000;76.41721700;9171;3941355.11917587;36.64520900;1890480.02704259
2021-04-17 14:00:00.000;BTCEUR;2021-04-17 13:00:00.000;2021-04-17 13:59:59.999;51413.02000000;51052.99000000;51449.99000000;50878.04000000;130.18732700;12300;6663254.09097963;66.26405000;3392764.71508954
2021-04-17 15:00:00.000;BTCEUR;2021-04-17 14:00:00.000;2021-04-17 14:59:59.999;51049.19000000;51256.39000000;51281.85000000;50775.57000000;136.69933100;11321;6978099.45797946;62.04706600;3168096.96846053
2021-04-17 16:00:00.000;BTCEUR;2021-04-17 15:00:00.000;2021-04-17 15:59:59.999;51256.38000000;51250.75000000;51333.32000000;50709.46000000;111.95487400;10701;5721855.19734582;51.44670100;2629843.50355836
