event_time;symbol;kline_start_time;kline_Close_Time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-11 00:00:00.000;BTCEUR;2021-04-10 23:30:00.000;2021-04-10 23:59:59.999;49658.29000000;49696.80000000;49773.65000000;49517.49000000;63.95203500;4568;3175695.49253189;28.06545100;1393699.77933157
2021-04-11 00:30:00.000;BTCEUR;2021-04-11 00:00:00.000;2021-04-11 00:29:59.999;49702.05000000;49836.24000000;49887.91000000;49654.22000000;49.87026700;4002;2483576.54893426;27.39443200;1364235.02883758
2021-04-11 01:00:00.000;BTCEUR;2021-04-11 00:30:00.000;2021-04-11 00:59:59.999;49832.57000000;49617.16000000;49882.73000000;49615.92000000;28.29718100;3092;1408371.84121237;13.32716100;663355.72864536
2021-04-11 01:30:00.000;BTCEUR;2021-04-11 01:00:00.000;2021-04-11 01:29:59.999;49620.12000000;50027.41000000;50035.94000000;49620.12000000;35.08513300;3520;1749686.39229131;19.21956800;958372.03491749
2021-04-11 02:00:00.000;BTCEUR;2021-04-11 01:30:00.000;2021-04-11 01:59:59.999;50027.43000000;50161.53000000;50213.10000000;49960.97000000;36.95443800;3613;1852206.66205093;17.50053100;877204.99988610
2021-04-11 02:30:00.000;BTCEUR;2021-04-11 02:00:00.000;2021-04-11 02:29:59.999;50175.89000000;50410.09000000;50500.00000000;50020.28000000;95.20349500;6122;4788668.79676468;54.15331800;2723749.17911504
2021-04-11 03:00:00.000;BTCEUR;2021-04-11 02:30:00.000;2021-04-11 02:59:59.999;50410.09000000;50287.28000000;50480.16000000;50277.40000000;32.43686600;3524;1634522.40592885;16.49242800;831125.51725697
2021-04-11 03:30:00.000;BTCEUR;2021-04-11 03:00:00.000;2021-04-11 03:29:59.999;50280.60000000;50284.60000000;50322.34000000;50164.38000000;27.44889800;2660;1379021.02171322;13.88267900;697498.10237807
2021-04-11 04:00:00.000;BTCEUR;2021-04-11 03:30:00.000;2021-04-11 03:59:59.999;50288.07000000;50586.20000000;50586.20000000;50250.27000000;33.45501800;2619;1687147.95045501;23.78711200;1199802.21367952
2021-04-11 04:30:00.000;BTCEUR;2021-04-11 04:00:00.000;2021-04-11 04:29:59.999;50586.19000000;50326.91000000;50586.19000000;50284.89000000;19.57035000;2022;986431.57598578;11.70954700;590054.54501907
2021-04-11 05:00:00.000;BTCEUR;2021-04-11 04:30:00.000;2021-04-11 04:59:59.999;50337.76000000;50506.03000000;50530.08000000;50263.15000000;13.60497800;1698;685679.95064742;7.02814400;354239.74265298
2021-04-11 05:30:00.000;BTCEUR;2021-04-11 05:00:00.000;2021-04-11 05:29:59.999;50509.81000000;50209.79000000;50633.66000000;50205.60000000;34.65469500;2822;1748471.76567873;20.54223000;1037059.88318010
2021-04-11 06:00:00.000;BTCEUR;2021-04-11 05:30:00.000;2021-04-11 05:59:59.999;50209.79000000;50270.03000000;50407.34000000;50202.41000000;13.58589900;1670;683468.64862223;7.92720000;398802.56334208
2021-04-11 06:30:00.000;BTCEUR;2021-04-11 06:00:00.000;2021-04-11 06:29:59.999;50269.43000000;50179.53000000;50317.08000000;50109.59000000;23.89282900;2082;1199634.54442867;10.26421800;515309.04806069
