event_time;symbol;kline_start_time;kline_close_time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-15 00:00:00.000;BTCEUR;2021-04-14 23:30:00.000;2021-04-14 23:59:59.999;52469.31000000;52542.75000000;52590.15000000;52367.77000000;53.51466500;4513;2809002.72529156;25.76678500;1352648.82467098
2021-04-15 00:30:00.000;BTCEUR;2021-04-15 00:00:00.000;2021-04-15 00:29:59.999;52542.75000000;52447.86000000;52602.09000000;52356.62000000;57.45426800;3636;3016319.25289543;25.16345900;1321028.90847648
2021-04-15 01:00:00.000;BTCEUR;2021-04-15 00:30:00.000;2021-04-15 00:59:59.999;52432.74000000;52576.61000000;52726.30000000;52432.74000000;36.80904100;2985;1935316.12416445;19.57334200;1029146.21899316
2021-04-15 01:30:00.000;BTCEUR;2021-04-15 01:00:00.000;2021-04-15 01:29:59.999;52569.77000000;52706.64000000;52718.63000000;52485.41000000;29.14289200;2371;1532566.45651662;11.59354300;609754.43531058
2021-04-15 02:00:00.000;BTCEUR;2021-04-15 01:30:00.000;2021-04-15 01:59:59.999;52706.70000000;52642.53000000;52720.97000000;52338.08000000;31.20455900;2138;1639600.72132187;14.08513800;740128.64960519
2021-04-15 02:30:00.000;BTCEUR;2021-04-15 02:00:00.000;2021-04-15 02:29:59.999;52635.25000000;52774.82000000;52972.51000000;52635.25000000;58.20584500;2988;3075253.93963651;26.08321800;1378014.17915610
2021-04-15 03:00:00.000;BTCEUR;2021-04-15 02:30:00.000;2021-04-15 02:59:59.999;52781.00000000;52417.99000000;52819.28000000;52416.09000000;28.65355100;1988;1507910.84969935;10.51126500;553094.82011816
2021-04-15 03:30:00.000;BTCEUR;2021-04-15 03:00:00.000;2021-04-15 03:29:59.999;52416.09000000;52749.96000000;52749.96000000;52342.02000000;30.56297600;1900;1604585.71498838;16.52652100;867812.24576777
2021-04-15 04:00:00.000;BTCEUR;2021-04-15 03:30:00.000;2021-04-15 03:59:59.999;52750.00000000;52438.70000000;52810.12000000;52431.17000000;32.07110200;1622;1688334.30799138;15.14257100;797378.72227647
2021-04-15 04:30:00.000;BTCEUR;2021-04-15 04:00:00.000;2021-04-15 04:29:59.999;52437.30000000;52248.14000000;52620.66000000;52153.39000000;38.60246700;2041;2022891.79444378;19.09132900;1000737.95607887
